{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
     train: epoch 58 loss 0.572263  auc  0.7620  rmse  0.1149  df(ActivateDay.Avg) 0.0423
               valid loss 16.884094  auc  0.7704  rmse  0.1141  df(ActivateDay.Avg) 0.0003
     train: epoch 59 loss 0.572100  auc  0.7634  rmse  0.1149  df(ActivateDay.Avg) 0.0442
               valid loss 17.917327  auc  0.7700  rmse  0.1148  df(ActivateDay.Avg) 0.1298
     train: epoch 60 loss 0.572281  auc  0.7620  rmse  0.1149  df(ActivateDay.Avg) 0.0427
               valid loss 15.979326  auc  0.7701  rmse  0.1143  df(ActivateDay.Avg) 0.1439
     train: epoch 61 loss 0.572126  auc  0.7631  rmse  0.1149  df(ActivateDay.Avg) 0.0446
               valid loss 17.315236  auc  0.7707  rmse  0.1141  df(ActivateDay.Avg) 0.0569
     train: epoch 62 loss 0.571131  auc  0.7635  rmse  0.1148  df(ActivateDay.Avg) 0.0429
               valid loss 17.024254  auc  0.7717  rmse  0.1139  df(ActivateDay.Avg) 0.0218
     train: epoch 63 loss 0.570440  auc  0.7652  rmse  0.1147  df(ActivateDay.Avg) 0.0443
               valid loss 15.623824  auc  0.7722  rmse  0.1147  df(ActivateDay.Avg) 0.2038
     train: epoch 64 loss 0.571914  auc  0.7635  rmse  0.1149  df(ActivateDay.Avg) 0.0437
               valid loss 16.210587  auc  0.7704  rmse  0.1140  df(ActivateDay.Avg) 0.1050
